original_ranking,school,POLS16,H-Index POLS16,POLS 2,H-Index POLS2,NON-PEER-PUBS,H-Index NON-PEER-PUBS,All IR,H-Index All IR,IREx16,H-Index IREx16,POLS+IR16,H-Index POLS +IR16,TRIP Pubs,TRIP Cites,TRIP h-index,TRIP Cite N,Books,Books N,Cong Test,ProQ,ProQN,CFRIAF,APSACF
1,STANFORD,561.5454545,5.090909091,344.9090909,1.181818182,35.72727273,1.181818182,532,5.636363636,111,1.727272727,427.6363636,4.636363636,8.545454545,901.8181818,6.636363636,0.250545455,9.322818182,0.296909091,4.727272727,143.2727273,4.576671181,3,0
2,HARVARD,95.57142857,4,25.14285714,0.714285714,1.571428571,0.285714286,141.2857143,3,12.28571429,1,130,1.857142857,4,163.1428571,3,10.39285714,7.423,0.224633426,0.142857143,13,0.478433402,0,0
3,MICHIAN AA,538.8,7.1,244,1.8,0,0,394.1,4.9,156.8,1.9,221.2,3.4,7.5,592.7,6.3,19.91558447,9.6178,0.457117958,1.1,15.3,0.49036241,1,0
4,COLUMBIA,273.7272727,4.818181818,113.1818182,1.545454545,25.63636364,0.909090909,275.9090909,5.090909091,41.18181818,1.818181818,236.9090909,4,10.18181818,377.1818182,5.636363636,12.31772727,8.315636364,0.278,0.545454546,32.54545455,0.807185971,1,0
5,MIT,97.8125,2.125,8.625,0.375,7.9375,0.4375,65.625,2.625,54.6875,2.125,9.6875,0.625,9.375,70.8125,2.9375,4.303629266,11.40525,0.457204446,0.3125,8.6875,0.064022957,1,0
6,PRINCETON,191.0526316,4.263157895,62.73684211,1.052631579,60.78947368,1.315789474,427.9473684,6.263157895,238.5263158,4.368421053,387.4736842,5.631578947,11.73684211,474.9473684,6.157894737,3.577656988,10.42831579,0.432293074,1.736842105,109.7368421,4.43850439,2,2
7,UC SAN DIEGO,331.5,6.5,167.9444444,2.166666667,9.882352941,0.470588235,329.7777778,5.833333333,82.44444444,2.555555556,184.4444444,3.333333333,8.888888889,459.4444444,6.944444444,21.90371697,7.526058824,0.348935287,0.166666667,6,0.177202152,2,0
8,YALE,336.1428571,5.571428571,179,2.076923077,1.642857143,0.142857143,215.9285714,3.142857143,129.1428571,2.285714286,265.8571429,3.428571429,8.5,325.4285714,4.357142857,12.84307539,13.07428571,0.566806081,0.153846154,7.571428571,0.152463513,0,1
9,NYU,586.4375,6.75,355.5,3.1875,3.0625,0.0625,232.3125,3.9375,94.75,1.875,139,2.1875,6.8125,551.3125,5.5,18.9161875,12.2366875,0.41175,0.125,6.4375,0.173929275,0,0
10,BERKLEY,153.1,4.4,97.4,2,26.8,0.8,123.5,3.8,105.4,3.2,18.1,1.3,5.6,192.7,4.3,7.395137288,13.2251,0.535,0.7,52.3,1.441939293,2,0
