"Category","Rainfall","Rainfall error (low)","Rainfall error (high)","Temperature","Temperature error (low)","Temperature error (high)"
"Jan",49.9,48,51,7,6,8
"Feb",71.5,68,73,6.9,5.9,7.6
"Mar",106.4,92,110,9.5,9.4,10.4
"Apr",129.2,128,136,14.5,14.1,15.9
"May",144,140,150,18.2,18,20.1
"Jun",176,171,179,21.5,21,24
"Jul",135.6,135,143,25.2,23.2,25.3
"Aug",148.5,142,149,26.5,26.1,27.8
"Sep",216.4,204,220,23.3,23.2,23.9
"Oct",194.1,189,199,18.3,18,21.1
"Nov",95.6,95,110,13.9,12.9,14
"Dec",54.4,52,56,9.6,7.6,10
